Campo;Descripción campo;Tabla
g_non_customer_id;Identificador de no cliente en modelo global, entendiéndose por no cliente aquella persona, fí­sica o jurí­dica, que contacta por algún medio con la entidad para contratar un producto o servicio con la misma. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_ncustomer_document
gf_personal_id;Numeración o codificación reflejada en el documento oficial Identificativo del cliente  Por ejemplo:  - Número de Pasaporte - Número de Tarjeta de Residencia - Número del Documento Nacional de Identidad (DNI) - Número de Identificación Fiscal (NIF) - Número Cédula de Identidad - otros;t_kbtq_ncustomer_document
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_ncustomer_document
gf_personal_type;Indicador del tipo de documento informado en el 'Documento oficial identificativo del cliente'. Entendiendo por 'Documento oficial identificativo del cliente' la numeración o codificación reflejada en su documento oficial identificativo. Por ejemplo: - Tarjeta de lector - Carnet de conducir - Pasaporte - DNI - Otros;t_kbtq_ncustomer_document
gf_personal_type_desc;Descripcion del tipo de documento informado en el 'Documento oficial identificativo del cliente'. Entendiendo por 'Documento oficial identificativo del cliente' la numeración o codificación reflejada en su documento oficial identificativo. Por ejemplo: - Tarjeta de lector - Carnet de conducir - Pasaporte - DNI - Otros;t_kbtq_ncustomer_document
gf_personal_status_type;Indicador que permite obtener un mayor nivel de detalle sobre el Estado en el que se encuentra el Documento Oficial Identificativo del cliente.  Por ejemplo:  - DNI Caducado - Tarjeta de residencia permanente o temporal - Pasaporte caducado - Otros;t_kbtq_ncustomer_document
gf_expedition_document_date;Momento en el que se realiza la expedición del documento;t_kbtq_ncustomer_document
gf_document_expiration_date;Momento a partir del cual finaliza la validez de un documento.;t_kbtq_ncustomer_document
gf_document_update_date;Fecha correspondiente al momento en el que se realiza la modificación del documento;t_kbtq_ncustomer_document
gf_document_end_reason_desc;Descripción detallada del motivo por el que se da de baja el documento;t_kbtq_ncustomer_document
g_non_cust_doc_check_ind_type;Marca de modelo global que indica si se ha verificado el documento de identificación del no cliente. Indica si los datos del documento fueron validados.;t_kbtq_ncustomer_document
gf_expedition_doc_state_id;Identificador que indica el estado, provincia o departamento donde está localizada la entidad legal que lo emite.;t_kbtq_ncustomer_document
g_expedition_doc_country_id;Código ISO en el modelo global que permite identificar de manera uní­voca al paí­s que emite o genera el documento;t_kbtq_ncustomer_document
gf_expedition_doc_town_name;Nombre del municipio donde se expidió el documento.;t_kbtq_ncustomer_document
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_ncustomer_document
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_ncustomer_document
g_non_customer_id;Identificador de no cliente en modelo global, entendiéndose por no cliente aquella persona, fí­sica o jurí­dica, que contacta por algún medio con la entidad para contratar un producto o servicio con la misma. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_ncustomer_expense
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_ncustomer_expense
gf_expense_seq_id;Identificador secuencial del gasto. Un gasto puede estar asociado a cualquier tipo de persona, se fisica o juridica;t_kbtq_ncustomer_expense
gf_expense_concept_type;Código interno del catálogo correspondiente al tipo de concepto de gasto;t_kbtq_ncustomer_expense
gf_expense_desc;Decripción del gasto. Ej: Hipoteca, alquiler, renta de vehiculos, etc;t_kbtq_ncustomer_expense
gf_curncy_expense_amount;Importe de Gasto en Divisas;t_kbtq_ncustomer_expense
g_currency_id;Código alfanumérico Modelo Global de 3 posiciones que clasifica la divisa/moneda de los paí­ses en base al estándar internacional ISO 4217. Por ejemplo: EUR (Euro), ARS (Peso Argentino), COP (Peso Colombiano), CAD (Dolar canadiense), USA (Dolar estadounidense)...;t_kbtq_ncustomer_expense
g_frequency_type;En Modelo Global tipo de frecuencia aplicable a cualquier concepto. Por ejemplo: diario, semanal, mensual, etc;t_kbtq_ncustomer_expense
gf_frequency_type_desc;Descripción del Tipo de frecuencia. Ejemplos: Una vez, diario, semanal, quincenal, mensual, anual, otros;t_kbtq_ncustomer_expense
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_ncustomer_expense
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_ncustomer_expense
gf_conciliation_id;Identificador de conciliación, el cual va a permitir discernir si la informacion cargada esta alineada con el origen. La información que puede contener puede ser de cualquier naturaleza, como por ejempllo: PAN, telefono del cliente, DNI,etc;t_kbtq_ncustomer_expense
gf_hobby_id;Código identificativo de los distintos tipos de preferencias, gustos ó hobbies de la persona. Por ejemplo: - Deporte - Viajes - Lectura - Tecnologí­a - Otros.;t_kbtq_ncustomer_hobby
g_non_customer_id;Identificador de no cliente en modelo global, entendiéndose por no cliente aquella persona, fí­sica o jurí­dica, que contacta por algún medio con la entidad para contratar un producto o servicio con la misma. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_ncustomer_hobby
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_ncustomer_hobby
gf_hobby_desc;Descripción de los distintos tipos de preferencias, gustos ó hobbies de la persona. Por ejemplo: - Deporte - Viajes - Lectura - Tecnologí­a - Otros.;t_kbtq_ncustomer_hobby
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_ncustomer_hobby
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_ncustomer_hobby
g_non_customer_id;Identificador de no cliente en modelo global, entendiéndose por no cliente aquella persona, fí­sica o jurí­dica, que contacta por algún medio con la entidad para contratar un producto o servicio con la misma. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_ncustomer_indicator
gf_personal_indicator_id;Identificador de los indicadores personales. Estos indicadores hacen referencia a comportamientos, actividades economicas, actividades especí­ficas o cualquier caracterí­stica personal relevante para el banco;t_kbtq_ncustomer_indicator
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_ncustomer_indicator
gf_personal_indicator_desc;Descripción de los indicadores personales. Estos indicadores hacen referencia a comportamientos, actividades economicas, actividades especí­ficas o cualquier caracterí­stica personal relevante para el banco;t_kbtq_ncustomer_indicator
gf_indicator_init_date;Fecha de inicio del indicador;t_kbtq_ncustomer_indicator
gf_indicator_end_date;Fecha de finalización del indicador;t_kbtq_ncustomer_indicator
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_ncustomer_indicator
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_ncustomer_indicator
gf_conciliation_id;Identificador de conciliación, el cual va a permitir discernir si la informacion cargada esta alineada con el origen. La información que puede contener puede ser de cualquier naturaleza, como por ejempllo: PAN, telefono del cliente, DNI,etc;t_kbtq_ncustomer_indicator
g_non_customer_id;Identificador de no cliente en modelo global, entendiéndose por no cliente aquella persona, fí­sica o jurí­dica, que contacta por algún medio con la entidad para contratar un producto o servicio con la misma. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_ncustomer_info
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_ncustomer_info
g_country_id;Código ISO del modelo global que permite identificar de manera uní­voca un paí­s.;t_kbtq_ncustomer_info
gf_entity_id;Código que permite identificar de manera uní­voca a la entidad financiera. Una entidad financiera es cualquier entidad o agrupación que tiene como objetivo y fin ofrecer servicios de carácter financiero y que van desde la simple intermediación y asesoramiento al mercado de los seguros o créditos bancarios.;t_kbtq_ncustomer_info
gf_non_customer_id;Codificación interna de la Entidad para la identificación uní­voca de cada uno de los no clientes.;t_kbtq_ncustomer_info
gf_non_customer_type;Marca utilizada para indicar si la persona fí­sica o jurí­dica es cliente o no de la Entidad.;t_kbtq_ncustomer_info
gf_non_customer_update_date;Momento de actualización del registro del no cliente;t_kbtq_ncustomer_info
gf_personal_type;Indicador del tipo de documento informado en el 'Documento oficial identificativo del cliente'. Entendiendo por 'Documento oficial identificativo del cliente' la numeración o codificación reflejada en su documento oficial identificativo. Por ejemplo: - Tarjeta de lector - Carnet de conducir - Pasaporte - DNI - Otros;t_kbtq_ncustomer_info
gf_personal_type_desc;Descripcion del tipo de documento informado en el 'Documento oficial identificativo del cliente'. Entendiendo por 'Documento oficial identificativo del cliente' la numeración o codificación reflejada en su documento oficial identificativo. Por ejemplo: - Tarjeta de lector - Carnet de conducir - Pasaporte - DNI - Otros;t_kbtq_ncustomer_info
gf_personal_id;Numeración o codificación reflejada en el documento oficial Identificativo del cliente  Por ejemplo:  - Número de Pasaporte - Número de Tarjeta de Residencia - Número del Documento Nacional de Identidad (DNI) - Número de Identificación Fiscal (NIF) - Número Cédula de Identidad - otros;t_kbtq_ncustomer_info
gf_personal_status_type;Indicador que permite obtener un mayor nivel de detalle sobre el Estado en el que se encuentra el Documento Oficial Identificativo del cliente.  Por ejemplo:  - DNI Caducado - Tarjeta de residencia permanente o temporal - Pasaporte caducado - Otros;t_kbtq_ncustomer_info
gf_special_status_desc;Descripción del código identificativo que representa los posibles estados en los que se puede encontrar un cliente en lo que respecta a su capacidad de pago, ya sea una persona fí­sica o jurí­dica. Por ejemplo: - Suspensión de pagos - Quiebra - Incapacidad legal - Incapacidad judicial - Otros;t_kbtq_ncustomer_info
gf_expedition_document_date;Momento en el que se realiza la expedición del documento;t_kbtq_ncustomer_info
gf_document_update_date;Fecha correspondiente al momento en el que se realiza la modificación del documento;t_kbtq_ncustomer_info
gf_document_expiration_date;Momento a partir del cual finaliza la validez de un documento.;t_kbtq_ncustomer_info
gf_personal_status_type_desc;Descripción del Estado en el que se encuentra el Documento Oficial Identificativo del cliente.  Por ejemplo:  - DNI Caducado - Tarjeta de residencia permanente o temporal - Pasaporte caducado - Otros;t_kbtq_ncustomer_info
gf_expedition_doc_state_id;Identificador que indica el estado, provincia o departamento donde está localizada la entidad legal que lo emite.;t_kbtq_ncustomer_info
gf_personal_doc_subtype_type;Código que indica la tipologí­a del documento identificativo del cliente;t_kbtq_ncustomer_info
gf_subtype_personal_desc;Descripción de la marca para, Extranjeros Residentes y Espaí±oles NO Residentes, si el documento identificativo es la tarjeta de residente, tomará los valors de Temporal o permanente para indicar la residencia.;t_kbtq_ncustomer_info
gf_legal_person_inst_type;Tipo de institución para personas juridicas. Tomará diferentes valores para familias, generico no clasificado, resto de otras empresas no financieras, administracion seguridad social, etc.;t_kbtq_ncustomer_info
gf_institution_type_desc;Descripción de la clasificación para personas jurí­dicas. Por ejemplo: Banco Central, Caja de Ahorro, Administración autonómica etc..;t_kbtq_ncustomer_info
gf_inst_type_criterion_id;Identificador del criterio utilizado para determinar el tipo de institución. Por ejemplo: Listas cerradas, por CNAE del cliente, etc.;t_kbtq_ncustomer_info
gf_consolidation_companies_id;Identificador de consolidación/agrupación de empresas, que teniendo personalidades jurí­dicas diferentes, actúan bajo una misma dirección. Ejemplos.  1 - Grupo financieroÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Â  2 - Grupo economico de puesta en equivalenciaÂ Â Â  Â  3 - Asociadas de puesta en equivalenciaÂ Â Â Â Â Â Â Â  Â  4 - Resto deÂ  participacionesÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Â  5 - Sociedades de consolidacion vendidas en el aí±o.;t_kbtq_ncustomer_info
gf_consolidation_co_desc;Descripción tipos de grupo de empresas, que teniendo personalidades jurí­dicas diferentes, actúan bajo una misma dirección. Ejemplos. Grupo financiero Grupo economico de puesta en equivalencia Asociadas de puesta en equivalencia Resto de participaciones Sociedades de consolidacion vendidas en el aí±o.;t_kbtq_ncustomer_info
gf_first_name;Nombre propio identificativo de la persona fí­sica y que aparece en el registro Civil.;t_kbtq_ncustomer_info
gf_middle_name;Segundo nombre propio identificativo de la persona fí­sica que se inserta entre el nombre y primer apellido, y que aparece en el registro Civil.;t_kbtq_ncustomer_info
gf_person_name_suffix_type;Información abreviada del nombre de la persona. Por ejemplo Jr para Junior, Sr en el caso de Senior, etc...;t_kbtq_ncustomer_info
gf_last_name;Primer Apellido de la Persona que aparece en el Registro Civil o fuente oficial aceptada en el paí­s.;t_kbtq_ncustomer_info
gf_second_last_name;Segundo Apellido de la Persona que aparece en el Registro Civil o fuente oficial aceptada en el paí­s.;t_kbtq_ncustomer_info
gf_gender_type;Indicador del sexo o género de la persona (Ejemplos: Mujer/Hombre, Mujer/Varón....);t_kbtq_ncustomer_info
gf_gender_desc;Descripción del sexo o género de la persona (Ejemplos: Mujer/Hombre, Mujer/Varón....);t_kbtq_ncustomer_info
gf_birth_date;Momento en el que la persona nace.;t_kbtq_ncustomer_info
gf_resident_type;Marca utilizada para identificar si una persona es Residente o no Residente de un paí­s.;t_kbtq_ncustomer_info
gf_country_nationality_id;Paí­s de nacionalidad de la Persona;t_kbtq_ncustomer_info
g_residence_country_id;Código ISO del modelo global que permite identificar de manera uní­voca el paí­s de residencia.;t_kbtq_ncustomer_info
g_birth_country_id;Código ISO del Modelo Global que identifica el Paí­s de nacimiento de la Persona;t_kbtq_ncustomer_info
gf_birth_town_name;Nombre de la ciudad de nacimiento de la persona;t_kbtq_ncustomer_info
gf_province_birth_name;Nombre de la Provincia/Estado de nacimiento de la Persona;t_kbtq_ncustomer_info
gf_marital_status_type;Código identificativo de la situación de las personas fí­sicas determinada por sus relaciones de familia, provenientes del matrimonio o del parentesco, que establece ciertos derechos y deberes.;t_kbtq_ncustomer_info
gf_marital_status_desc;Descripcion de la situación de las personas fí­sicas determinada por sus relaciones de familia, provenientes del matrimonio o del parentesco, que establece ciertos derechos y deberes.;t_kbtq_ncustomer_info
gf_matrimonial_regime_type;Indicador del régimen patrimonial del matrimonio. Refleja el conjunto de reglas que determinan y delimitan los intereses económico-pecuniarios que rigen las relaciones interconyugales en el matrimonio y las relaciones con los terceros.  Por ejemplo: - Separación de bienes - Sociedad conyugal - Otros;t_kbtq_ncustomer_info
gf_address_type;Marca utilizada para identificar el tipo de Domicilio. Por ejemplo: - Alquilado - En propiedad - Hipotecada - Otros;t_kbtq_ncustomer_info
gf_address_type_desc;Descripción del tipo de domicilio/dirección;t_kbtq_ncustomer_info
gf_residence_type;Marca utilizada para identificar el domicilio registrado de la persona. Por ejemplo: - Domicilio Fiscal - Primera residencia - Empresa donde trabaja - Otros;t_kbtq_ncustomer_info
gf_residence_desc;Descripción de la marca utilizada para identificar el domicilio registrado de la persona. Por ejemplo: - Domicilio Fiscal - Primera residencia - Empresa donde trabaja - Otros;t_kbtq_ncustomer_info
gf_address_country_id;Codificación que permite determinar el paí­s donde se encuentra ubicado el domicilio indicado por el cliente.;t_kbtq_ncustomer_info
gf_geographical_group_name;Información que describe el nombre de la división administrativa territorial de primer nivel en que se organiza un Estado.  Por ejemplo:  - Estado - Región - Comunidad Autónoma - Otros;t_kbtq_ncustomer_info
gf_province_name;Nombre de la división administrativa del territorio de un Estado;t_kbtq_ncustomer_info
gf_town_id;Código identificativo de la ciudad.;t_kbtq_ncustomer_info
gf_town_name;Nombre de la Ciudad/Población.;t_kbtq_ncustomer_info
gf_road_type_id;Código identificativo que permite identificar el tipo de ví­a. Por ejemplo: - Calle - Avenida - Travesí­a - Otras;t_kbtq_ncustomer_info
gf_address_road_desc;Descripción con detalle del nombre de la via en una dirección.;t_kbtq_ncustomer_info
gf_secndy_addr_road_number_id;Identificador del Número secundario del Domicilio Normalizado. Se trata de información complementaria de una dirección. Por ejemplo, en el caso de que haya dos portales con mismo número y se distingan por una letra Portal 16-A Portal 16 - B;t_kbtq_ncustomer_info
gf_address_reference_desc;Descripción correspondiente a la referencia de la dirección. Esta información es incluida con el fin de facilitar la localización de la dirección.Por ejemplo: Al lado de, al frente de, en la esquina de etc.;t_kbtq_ncustomer_info
gf_urbanization_name;Nombre de la zona o urbanización de la dirección.;t_kbtq_ncustomer_info
gf_primry_addr_road_number_id;Identificador del Número primario del Domicilio Normalizado. Se trata de información complementaria de una dirección. Por ejemplo, en el caso de que haya dos portales con mismo número y se distingan por una letra Portal 16-A Portal 16 - B;t_kbtq_ncustomer_info
gf_zipcode_id;Esquema que se encarga de asignar a distintas zonas o lugares de un paí­s, un código que, adosado a la dirección, es útil para facilitar y mecanizar el encaminamiento de una carta de correo. Los códigos postales son una serie de dí­gitos y letras.;t_kbtq_ncustomer_info
gf_address_verified_type;Marca que permite identificar la validez o fiabilidad del Domicilio de la Persona registrado en la Entidad. La validez se suele realizar según el criterio de la Entidad. El más extendido consiste en la validación del domicilio en función del Contacto con el cliente. Si el cliente da feedback tras una notificación a domicilio se valida el Domiclio.;t_kbtq_ncustomer_info
gf_address_verified_date;Fecha que permite identificar la validez o fiabilidad del Domicilio de la Persona registrado en la Entidad. La validez se suele realizar según el criterio de la Entidad. El más extendido consiste en la validación del domicilio en función del Contacto con el cliente. Si el cliente da feedback tras una notificación a domicilio se valida el Domiclio.;t_kbtq_ncustomer_info
gf_address_desc;Detalle del lugar donde se encuentra ubicado el domicilio de la persona. Incluye toda la información necesaria para identificar un domicilo al minimo nivel (área, tipo de via, número....);t_kbtq_ncustomer_info
gf_email_desc;Dirección de correo electrónico de la Persona;t_kbtq_ncustomer_info
gf_phone_type;Marca utilizada para identificar el tipo de teléfono. Por ejemplo: - movil - fijo - bbeper - radio - otros;t_kbtq_ncustomer_info
gf_phone_type_desc;Descripción del tipo de teléfono;t_kbtq_ncustomer_info
gf_prefix_phone_id;Código del préfijo nacional (departamental) o internacional de un teléfono.;t_kbtq_ncustomer_info
gf_prefix_phone_desc;Descripción del prefijo nacional (departamental) o internacional de un teléfono.;t_kbtq_ncustomer_info
gf_extension_phone_id;Número de extensión de un teléfono, complemento del número de teléfono aportado;t_kbtq_ncustomer_info
gf_phone_id;Número de teléfono aportado por el cliente como método de contacto, el cual se trata de una secuencia de dí­gitos que permite la identificación del punto final de una llamada en una red telefónica. Esta secuencia de dí­gitos variará su longitud dependiendo de la geografí­a.;t_kbtq_ncustomer_info
gf_title_type;Tipo de tratamiento formal utilizado para dirigirse a las personas fí­sicas en la correspondencia enviada por parte de la Entidad. Por ejemplo: - Don - Doí±a - Excelentí­simo - Otros;t_kbtq_ncustomer_info
gf_title_desc;Descripción del tipo de tratamiento formal utilizado para dirigirse a las personas fí­sicas en la correspondencia enviada por parte de la Entidad.  Por ejemplo: - Don  - Doí±a  - Excelentí­simo  - Otros;t_kbtq_ncustomer_info
gf_residence_date;Momento desde el que comienza la residencia del domicilio, desde cuando vive ahi la persona;t_kbtq_ncustomer_info
gf_accounting_sector_id;Sector económico/contable al que pertenece la persona.;t_kbtq_ncustomer_info
gf_accounting_subsector_id;Subsector económico/contable al que pertenece la persona. Aporta mayor nivel de detalle dentro del sector economico/contable en el que se encuentre la persona.;t_kbtq_ncustomer_info
gf_legal_status_id;Código identificativo que refleja el tipo de sociedad mercantil de las personas jurí­dicas clientes de la Entidad. Dependerá de la titularidad de la empresa y la responsabilidad legal de sus propietarios. Por ejemplo:  - Sociedad Anónima.  - Sociedad Limitada. - otros;t_kbtq_ncustomer_info
g_swift_id;Código alfanumérico Modelo Global compuesto por 8 u 11 dí­gitos utilizado para identificar al banco receptor en las transferencias internacionales. Según sus siglas, se trata del código SWIFT Society for Woldwide Interbank Financial Telecommunication, o también denominado código BIC Bank Identifier Cod. Se trata de un código creado para aumentar la seguridad al realizar transferencias internacionales, con el fin de eliminar errores, reducir tiempos de espera y evitar costes adicionales.;t_kbtq_ncustomer_info
gf_activity_end_date;Fecha que indica el fin de actividad que realiza la empresa en el caso de tratarse de personas Jurí­dicas. Para el caso de personas fí­sicas se trata de la fecha de Fallecimiento.;t_kbtq_ncustomer_info
gf_correspondence_language_id;Idioma en el que el cliente desea recibir la correspondencia;t_kbtq_ncustomer_info
gf_local_institution_id;Identificador de instituciones o administraciones locales que pueden contratar con el banco.;t_kbtq_ncustomer_info
gf_tax_exempt_type;Indicador de Exoneración de Impuesto;t_kbtq_ncustomer_info
gf_tax_exemption_initial_date;Fecha de inicio de exención o alivios tributarios del empleado, por alivios tributarios se refiere a disminuir costo de impuestos que tiene que pagar el empleado, tales cómo la declaración de renta.;t_kbtq_ncustomer_info
gf_tax_exempt_end_date;Fecha fin de exención o alivios tributarios del empleado, por alivios tributarios se refiere a disminuir costo de impuestos que tiene que pagar el empleado, tales cómo la declaración de renta.;t_kbtq_ncustomer_info
gf_role_type;Código identificativo de la función que posee la persona dependiendo de la relación que tiene establecida con la entidad. Por ejemplo: - Indica si el individuo es cliente o no cliente - Ex Cliente: tiene contratos cancelados por más de 18 meses - Cliente Vencido: cuando un cliente tiene todos los contratos cancelados y alguno de ellos cancelado hace menos de 18 meses. - Cliente prospect: cliente que se da de alta desde asesoramiento - Otros;t_kbtq_ncustomer_info
gf_role_type_desc;Descripción de la función que posee la persona dependiendo de la relación que tiene establecida con la entidad. Por ejemplo: - Indica si el individuo es cliente o no cliente - Ex Cliente: tiene contratos cancelados por más de 18 meses - Cliente Vencido: cuando un cliente tiene todos los contratos cancelados y alguno de ellos cancelado hace menos de 18 meses. - Cliente prospect: cliente que se da de alta desde asesoramiento - Otros;t_kbtq_ncustomer_info
gf_employee_entity_id;Identificador Banco/Entidad del Grupo con el que el profesional tiene relación laboral, trándose de los casos en los que el cliente tiene alguna relación profesional con el Grupo, como por ejemplo Accionistas, empleados, etc...;t_kbtq_ncustomer_info
gf_fax_id;Número de fax o telefax aportado por el cliente como método de contacto, el cual se trata del número de teléfono correspondiente a la impresora o dispositivo de salida de la transmisión telefónica de material escaneado impreso (tanto texto como imágenes).;t_kbtq_ncustomer_info
gf_recipient_mail_name;Nombre completo de la persona/colectivo al que va dirigido la correspondencia.;t_kbtq_ncustomer_info
gf_website_desc;Información que aporta maypr nivel de detalle a cerca de la página web proporcionada.;t_kbtq_ncustomer_info
gf_taxpayer_id;Codificación de las Administraciones Públicas de cada paí­s para identificar e individualizar a los contribuyentes, personas fí­sicas o jurí­dicas, para fines tributarios. Tiene distintas acepciones en cada paí­s, por ejemplo: - México: en México este código es conocido como RFC por sus siglas Registro Federal de Contribuyentes. - Perú: en Perú este código se denomina RUC por sus siglas Registro íšnico de Contribuyentes. - Chile: en Chile este código se conoce como RUT por sus siglas Rol íšnico Tributario. - USA: en USA este código se conoce como TIN;t_kbtq_ncustomer_info
gf_check_name;Nombre, descripción asociada al cheque;t_kbtq_ncustomer_info
g_account_register_entity_id;Código Modelo Global del Banco/Entidad que realizó el alta en la información del registro de la cuenta.;t_kbtq_ncustomer_info
gf_account_register_branch_id;Código identificadtivo de la Oficina/sucursal en la cual se ha realizado el alta de la cuenta.;t_kbtq_ncustomer_info
gf_card_holder_name;Nombre que se informa en las tarjetas de un Cliente.;t_kbtq_ncustomer_info
gf_study_title_id;Código del tí­tulo de estudios académicos de la persona. Se trata del código que se asigna cuando se completa un grado de estudios, es decir, guardarí­a el código o folio que se le asigna a tu tí­tulo cuando obtienes este en la licenciatura, posgrado, etc;t_kbtq_ncustomer_info
g_non_cust_doc_check_ind_type;Marca de modelo global que indica si se ha verificado el documento de identificación del no cliente. Indica si los datos del documento fueron validados.;t_kbtq_ncustomer_info
gf_study_title_desc;Descripción del tí­tulo de estudios académicos de la persona. Se trata de la descripción de un grado de estudios, es decir, guardarí­a la descripción de un tí­tulo cuando obtienes este en la licenciatura, posgrado, etc;t_kbtq_ncustomer_info
gf_financial_rating_id;Código que identifica el rating, o calificación de la deuda para aquellas personas clientes de la Entidad, el cual mide la capacidad de un paí­s, gobierno o empresa para hacer frente a su deuda y por lo tanto, el riesgo que conlleva invertir en ella. Cuanto mayor sea el riesgo, peor calificación recibirá, debido a la probabilidad del impago de esta.;t_kbtq_ncustomer_info
gf_cut_co_econ_activity_id;Código que informa la Clasificación Internacional de la Industrial Uniforme (CIIU) para la rama CUT. El CIIU es la clasificación sistemática de todas las actividades económicas cuya finalidad es la de establecer su codificación armonizada a nivel mundial. Ofrece un conjunto de categorí­as de actividades que se puede utilizar cuando se diferencian las estadí­sticas de acuerdo con esas actividades. La Rama CUT (Cuenta Unica de Tesorerí­a) es una ramificación que representa la nómina que solo aplica para dependencias de gobierno. Ej Nomina de SAGARPA;t_kbtq_ncustomer_info
gf_cut_co_econ_activity_desc;Descripción que informa la Clasificación Internacional de la Industrial Uniforme (CIIU) para la rama CUT. El CIIU es la clasificación sistemática de todas las actividades económicas cuya finalidad es la de establecer su codificación armonizada a nivel mundial. Ofrece un conjunto de categorí­as de actividades que se puede utilizar cuando se diferencian las estadí­sticas de acuerdo con esas actividades. La Rama CUT (Cuenta Unica de Tesorerí­a) es una ramificación que representa la nómina que solo aplica para dependencias de gobierno. Ej Nomina de SAGARPA;t_kbtq_ncustomer_info
gf_cust_economic_activity_desc;Descripción que permite identificar la actividad económica del cliente;t_kbtq_ncustomer_info
gf_decree_dependency_id;Identificador decreto dependencia (Número Escritura) de personas jurí­dicas en el registro.;t_kbtq_ncustomer_info
gf_reserve_date;Fecha de reserva del cliente para cierto tipo de servicios;t_kbtq_ncustomer_info
gf_reserved_information_type;Indicador de información reservada;t_kbtq_ncustomer_info
gf_non_customer_status_desc;Descripción del estado del no cliente: si el no cliente es un no cliente externo, un no cliente del banco, etc.;t_kbtq_ncustomer_info
gf_study_level_type;Código que permite identificar el nivel de estudios que tiene un empleado, cliente., otros...;t_kbtq_ncustomer_info
gf_study_level_desc;Descripción del nivel de estudios que tiene un empleado, cliente., otros...;t_kbtq_ncustomer_info
gf_terminal_last_modify_id;Código que permite identificar el terminal donde se realizó la última modificación.;t_kbtq_ncustomer_info
gf_bankruptcy_situation_id;Identificador correspondiente a la situacion concursal (ó bancarrota): Concurso de acreedores sin petición de liquidación, Concurso de acreedores con petición de liquidación, etc.;t_kbtq_ncustomer_info
gf_pers_address_foreign_desc;Descripción del lugar donde se encuentra ubicado el domicilio de la persona en el extranjero. Incluye toda la información necesaria para identificar un domicilo al minimo nivel (área, tipo de via, número....);t_kbtq_ncustomer_info
gf_bankruptcy_situation_desc;Descripcií±on de la situacion concursal: Concurso de acreedores sin petición de liquidación, Concurso de acreedores con petición de liquidación, etc.;t_kbtq_ncustomer_info
gf_branch_reassigned_id;Código identificador de oficina reasignada;t_kbtq_ncustomer_info
gf_branch_reassigned_desc;Descripción del código identificador de oficina reasignada;t_kbtq_ncustomer_info
